"filename", "language", "PHP", "JavaScript", "SCSS", "CSS", "Markdown", "XML", "JSON", "comment", "blank", "total"
"c:\wamp64\www\roleandpermission\resources\views\Backend\department\edit.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\wamp64\www\roleandpermission\resources\views\Backend\department\index.blade.php", "PHP", 100, 0, 0, 0, 0, 0, 0, 0, 9, 109
"c:\wamp64\www\roleandpermission\resources\views\Backend\designation\create.blade.php", "PHP", 43, 0, 0, 0, 0, 0, 0, 0, 2, 45
"c:\wamp64\www\roleandpermission\resources\views\Backend\designation\edit.blade.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 1, 46
"c:\wamp64\www\roleandpermission\resources\views\Backend\designation\index.blade.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 9, 119
"c:\wamp64\www\roleandpermission\resources\views\Backend\domain\create.blade.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 5, 110
"c:\wamp64\www\roleandpermission\resources\views\Backend\domain\edit.blade.php", "PHP", 107, 0, 0, 0, 0, 0, 0, 0, 3, 110
"c:\wamp64\www\roleandpermission\resources\views\Backend\domain\index.blade.php", "PHP", 110, 0, 0, 0, 0, 0, 0, 0, 9, 119
"c:\wamp64\www\roleandpermission\resources\views\Backend\filemanager\index.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 29, 88
"c:\wamp64\www\roleandpermission\resources\views\Backend\home.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\wamp64\www\roleandpermission\resources\views\Backend\language\create.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\wamp64\www\roleandpermission\resources\views\Backend\language\edit.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\wamp64\www\roleandpermission\resources\views\Backend\language\index.blade.php", "PHP", 105, 0, 0, 0, 0, 0, 0, 0, 9, 114
"c:\wamp64\www\roleandpermission\resources\views\Backend\layouts\app.blade.php", "PHP", 132, 0, 0, 0, 0, 0, 0, 6, 25, 163
"c:\wamp64\www\roleandpermission\resources\views\Backend\layouts\backupapp.blade.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 9, 33
"c:\wamp64\www\roleandpermission\resources\views\Backend\layouts\header.blade.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\wamp64\www\roleandpermission\resources\views\Backend\layouts\sidebar.blade.php", "PHP", 300, 0, 0, 0, 0, 0, 0, 8, 50, 358
"c:\wamp64\www\roleandpermission\resources\views\Backend\layouts\sidebarbackup.blade.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 1, 8, 105
"c:\wamp64\www\roleandpermission\resources\views\Backend\menu\create.blade.php", "PHP", 137, 0, 0, 0, 0, 0, 0, 2, 16, 155
"c:\wamp64\www\roleandpermission\resources\views\Backend\menu\create1.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\wamp64\www\roleandpermission\resources\views\Backend\menu\edit.blade.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"c:\wamp64\www\roleandpermission\resources\views\Backend\menu\index.blade.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 8, 103
"c:\wamp64\www\roleandpermission\resources\views\Backend\module\create.blade.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
